num_announcements, num_withdrawals, duplicate_announce, longest_aspath, shortest_aspath, avg_as_path, num_prepended_ases, tlong_events, tshort_events, avg_edit_distance, max_edit_distance, num_edited_paths, rare_as1, rare_as2, rare_as3, rare_as4, rare_as5, event_type, mrai
9, 4, 4, 8, 4, 6.11013986013986, 4, 1, 2, 3.5, 6, 4, 0, 0, 0, 0, 0,1,5
20, 5, 12, 16, 4, 6.120274914089347, 34, 2, 2, 6.571428571428571, 14, 7, 0, 0, 0, 0, 0,1,5
20, 5, 10, 16, 3, 6.1233108108108105, 22, 0, 2, 4.5, 6, 2, 0, 0, 0, 0, 0,1,5
3, 0, 2, 11, 4, 6.12552653748947, 5, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0,1,5
41, 14, 25, 15, 3, 6.127035830618892, 60, 4, 4, 3.5833333333333335, 12, 12, 0, 0, 0, 0, 0,1,5
13, 3, 10, 16, 3, 6.1385979049153905, 23, 1, 1, 9.666666666666666, 14, 3, 0, 0, 0, 0, 0,1,5
20, 4, 15, 13, 3, 6.1348136399682796, 19, 2, 2, 3.75, 5, 4, 0, 0, 0, 0, 0,1,5
10, 4, 7, 16, 4, 6.14948859166011, 22, 0, 1, 4.0, 6, 2, 0, 0, 0, 0, 0,1,5
14, 3, 10, 11, 4, 6.150972762645915, 16, 2, 1, 4.333333333333333, 7, 3, 0, 0, 0, 0, 0,1,5
21, 2, 11, 15, 3, 6.154670750382849, 26, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0,1,5
6, 2, 4, 16, 5, 6.1692073170731705, 20, 1, 1, 3.0, 4, 2, 0, 0, 0, 0, 0,1,5
8, 2, 7, 11, 5, 6.182575757575758, 23, 1, 2, 7.333333333333333, 9, 3, 0, 0, 0, 0, 0,1,5
16, 4, 9, 11, 3, 6.184131736526946, 14, 1, 1, 3.0, 5, 3, 0, 0, 0, 0, 0,1,5
11, 3, 7, 16, 5, 6.202672605790646, 23, 1, 2, 5.666666666666667, 6, 3, 0, 0, 0, 0, 0,1,5
15, 1, 9, 11, 3, 6.200440528634362, 6, 0, 1, 3.0, 3, 1, 0, 0, 0, 0, 0,1,5
6, 3, 5, 7, 3, 6.195906432748538, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0,1,5
17, 4, 12, 16, 3, 6.207942238267148, 35, 2, 2, 7.0, 14, 4, 0, 0, 0, 0, 0,1,5
18, 1, 15, 12, 3, 6.208838203848895, 8, 0, 1, 3.5, 5, 2, 0, 0, 0, 0, 0,1,5
7, 5, 6, 9, 3, 6.2042553191489365, 2, 0, 1, 2.0, 2, 1, 0, 0, 0, 0, 0,1,5
25, 4, 15, 14, 3, 6.199303135888502, 14, 0, 0, 1.0, 1, 2, 0, 0, 0, 0, 0,1,5
7, 2, 4, 9, 5, 6.201109570041609, 2, 1, 1, 3.5, 5, 4, 0, 0, 0, 0, 0,1,5
15, 5, 13, 11, 3, 6.186684969114619, 4, 0, 2, 1.5, 3, 6, 0, 0, 0, 0, 0,1,5
21, 6, 17, 16, 3, 6.190798376184032, 25, 3, 0, 5.166666666666667, 13, 6, 0, 0, 0, 0, 0,1,5
10, 3, 9, 11, 3, 6.19489247311828, 17, 2, 2, 5.5, 9, 4, 0, 0, 0, 0, 0,1,5
30, 4, 17, 10, 3, 6.182476943346509, 17, 1, 3, 2.6666666666666665, 5, 9, 0, 0, 0, 0, 0,1,5
6, 5, 4, 14, 4, 6.187007874015748, 11, 1, 1, 5.0, 5, 3, 0, 0, 0, 0, 0,1,5
26, 5, 14, 11, 3, 6.174193548387096, 17, 3, 2, 3.8, 5, 5, 0, 0, 0, 0, 0,1,5
